x/y(mm)	-240.00	-220.00	-200.00	-180.00	-160.00	-140.00	-120.00	-100.00	-80.00	-60.00	-40.00	-20.00	0.00	20.00	40.00	60.00	80.00	100.00	120.00	140.00	160.00	180.00	200.00	220.00	240.00
0.00	6.04	6.12	6.05	6.01	6.03	5.89	6.5	5.98	5.85	5.71	6.03	4.8	6.09	5.67	5.7	5.77	5.78	5.73	5.78	5.78	5.91	5.92	5.8	5.72	5.87
20.00	5.87	5.84	5.97	6.19	5.96	5.91	5.92	5.84	5.95	5.51	5.57	5.04	5.72	5.65	5.81	5.87	4.78	5.83	5.86	5.91	5.85	5.73	5.71	5.88	5.76
40.00	5.99	5.84	5.9	5.98	5.98	6.16	5.93	5.99	5.89	5.84	4.93	5.98	5.75	6.14	5.56	5.84	5.82	5.75	5.79	5.86	5.88	5.82	5.71	5.95	5.78
60.00	6.06	6.09	6.05	5.93	5.95	5.81	6.09	6	6.24	5.89	6.09	4.98	5.01	5.5	5.58	5.82	5.8	5.8	5.81	5.72	5.86	5.84	5.82	5.91	5.89
80.00	6.08	6.02	5.84	5.94	5.83	5.84	5.97	5.86	5.81	5.9	4.86	4.84	5.22	5.87	6.37	5.87	5.97	5.92	5.95	5.67	5.89	5.83	5.67	5.78	5.72
100.00	6.1	6.09	6.04	5.93	5.81	5.97	6.05	5.85	5.73	4.91	5.23	5.11	5.48	5.92	5.72	5.95	5.88	5.83	5.79	5.75	5.92	5.98	5.81	5.74	5.98
120.00	6.02	5.96	6.03	6.02	5.95	6	6.03	5.91	5.8	5.71	5.46	4.75	5.67	5.74	5.71	5.76	5.86	5.86	5.87	5.86	5.83	5.92	5.8	5.95	5.84
140.00	5.95	6.09	6.11	6.16	6.32	5.95	6.04	5.9	6.31	5.39	5.43	4.76	6.23	5.98	5.72	5.7	5.89	6.02	6.03	6.3	5.83	5.82	5.71	5.69	5.87
160.00	5.95	5.98	6.14	5.92	6.1	5.78	5.83	6	5.81	5.89	4.83	5.72	5.8	5.86	5.67	5.85	5.88	6.04	6.04	5.89	5.92	5.9	5.81	5.89	5.84
180.00	5.78	5.95	5.8	6.01	5.84	5.78	6.1	6	5.86	5.72	5.23	4.53	5.67	6.39	5.8	5.8	5.86	5.91	6.07	5.8	5.78	5.8	5.73	5.71	5.89
200.00	5.8	5.9	5.81	5.81	5.76	5.95	5.84	5.8	5.83	5.75	5.41	4.59	5.51	5.88	5.87	6	5.9	5.98	5.98	5.82	5.93	5.46	6.41	5.95	5.75
220.00	6.11	5.74	5.92	5.97	5.96	5.74	5.28	5.95	5.24	5.79	5.54	4.58	5.68	6.22	6.2	5.77	5.81	5.9	5.92	6.41	5.82	5.8	5.77	5.84	5.99
240.00	5.77	5.9	5.97	5.84	5.75	6.04	5.95	5.71	5.8	4.82	4.63	5.76	5.68	6.14	5.81	5.95	5.87	5.92	5.86	5.9	5.94	5.89	5.8	5.89	5.91
260.00	5.9	6.14	6.09	6.14	6.44	5.82	5.77	6.48	5.66	5.09	4.86	5.55	5.75	5.76	5.88	5.89	5.92	5.89	5.9	6.17	5.82	5.95	5.68	5.84	5.89
280.00	5.79	6.02	5.82	5.89	5.82	5.76	5.95	5.05	4.98	6.28	5.1	5.94	5.92	6	5.89	5.84	5.74	5.98	5.93	5.65	5.97	5.84	5.91	6.05	6.06
300.00	5.84	5.95	6.06	5.91	5.96	5.94	5.75	5.97	5.78	5.56	4.61	4.76	5.7	5.99	5.79	5.86	5.76	5.89	5.92	5.9	5.96	6.06	5.81	5.96	5.92
320.00	5.86	6.01	6.07	6.07	5.91	5.88	6	5.84	5.73	5.51	4.75	5.53	5.97	5.68	5.51	5.75	5.99	5.87	5.89	5.72	5.72	5.89	5.78	5.83	5.83
340.00	5.94	5.86	5.92	5.97	5.89	5.86	5.81	5.92	5.7	5.58	5.6	5.7	5.78	5.68	5.74	5.97	5.95	5.91	5.73	5.83	5.92	5.84	5.84	5.9	5.86
360.00	5.92	6.02	5.89	5.95	5.85	5.23	5.9	5.92	5.93	5.66	4.89	5	5.89	5.62	5.8	5.77	5.75	5.87	5.93	5.87	5.77	5.92	5.95	6.35	6.4
380.00	5.84	5.96	5.97	5.97	5.93	5.88	5.95	5.89	5.97	5.73	5.03	5.25	5.79	5.58	5.83	5.91	6.04	6.02	5.89	5.81	6.49	5.65	5.75	5.84	5.88
400.00	5.81	5.75	5.89	6.03	5.82	5.81	5.76	5.78	5.81	5.74	5.79	5.97	5.87	5.53	5.95	5.93	5.85	5.95	6.22	5.93	5.94	5.84	5.69	5.79	5.78
